Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-10-01 00:00:00,4326.09,4377.22,4216,4377.22,7211.34,30871704.79,4281
2017-10-02 00:00:00,4369.33,4453,4352,4391.48,8259.82,36293751.01,4394.01
2017-10-03 00:00:00,4391.41,4425,4218,4315.83,12468.06,53551605.48,4295.1
2017-10-04 00:00:00,4315.73,4343,4170.07,4219.53,8518.99,36068254.94,4233.86
2017-10-05 00:00:00,4219.74,4358.97,4137.96,4301.09,8419.96,35912272.84,4265.13
2017-10-06 00:00:00,4301.09,4425,4278.4,4362.95,8377.3,36552658.15,4363.3
2017-10-07 00:00:00,4356.09,4463,4312.82,4423.3,4646.41,20320065.24,4373.29
2017-10-08 00:00:00,4422.72,4612,4404.5,4597.98,10083.87,45490443.57,4511.21
2017-10-09 00:00:00,4597.97,4865,4541,4764.7,12923.67,60473207.29,4679.26
2017-10-10 00:00:00,4761.67,4909.97,4700,4749.29,11666.02,56088789.35,4807.87
2017-10-11 00:00:00,4747.9,4869.78,4700,4822.01,9866.9,47256315.42,4789.38
2017-10-12 00:00:00,4822.01,5445,4793.66,5445,19916.23,102559923.23,5149.57
2017-10-13 00:00:00,5444,5846.43,5380,5653.6,27827.38,155848051.87,5600.53
2017-10-14 00:00:00,5653.58,5817.34,5558.26,5801.29,8410.94,47779356.45,5680.62
2017-10-15 00:00:00,5795.01,5830,5415,5679.7,11542.95,64464008.42,5584.71
2017-10-16 00:00:00,5683.92,5807.11,5548,5745.72,9066.8,51508749.11,5681.03
2017-10-17 00:00:00,5752.2,5776.31,5506.78,5597.31,9105.28,51035573.57,5605.05
2017-10-18 00:00:00,5591.97,5617.75,5101.36,5582.05,18961.68,101657249.58,5361.2
2017-10-19 00:00:00,5572.64,5735.14,5512.06,5698.69,9919.84,56087316.56,5654.06
2017-10-20 00:00:00,5700,6074,5589.8,5977.29,15109.06,89014299.88,5891.45
2017-10-21 00:00:00,5977.26,6180,5871,6013.46,15357.42,92912504.83,6050.01
2017-10-22 00:00:00,6010.85,6071.07,5700,5969,12232.52,71898806.16,5877.68
2017-10-23 00:00:00,5967.38,6045.34,5617.75,5871.17,15331.64,89530043.16,5839.56
2017-10-24 00:00:00,5869.82,5870,5453.01,5523.4,17286.72,97560230.19,5643.65
2017-10-25 00:00:00,5518.49,5748,5366,5735.88,12349.11,68370411.13,5536.47
2017-10-26 00:00:00,5741.35,5988,5683,5890,11788.3,69079451.81,5860
2017-10-27 00:00:00,5889.99,5994.06,5674.06,5771.89,11911.04,69053794.44,5797.46
2017-10-28 00:00:00,5773.03,5875.66,5646.18,5730.69,5926.3,33993472.69,5736.04
2017-10-29 00:00:00,5731.7,6316.85,5683,6137.37,16086.63,96361934.29,5990.19
2017-10-30 00:00:00,6133.01,6229.77,6024.03,6119.99,9574.64,58637080.14,6124.2
2017-10-31 00:00:00,6120,6449.78,6072.81,6434.21,13423.31,84354477.98,6284.18
2017-11-01 00:00:00,6434.24,6756.36,6340.01,6741.59,12967.22,84891427.3,6546.62
2017-11-02 00:00:00,6745.04,7354.1,6700,7030,26514.65,184979262.34,6976.49
2017-11-03 00:00:00,7030,7500,6925.22,7146.82,15999.78,116037544.15,7252.44
2017-11-04 00:00:00,7145.24,7569.9,6994,7388.83,9200.11,66730277.42,7253.2
2017-11-05 00:00:00,7388.79,7590,7275.16,7372.72,9218.33,68631151.85,7445.08
2017-11-06 00:00:00,7373.3,7421.39,6922.07,6967.68,19323.13,138542391.75,7169.77
2017-11-07 00:00:00,6967.64,7244.69,6945,7130.28,11634.27,82632999.59,7102.55
2017-11-08 00:00:00,7131.38,7888,7080.01,7450.32,24679.72,183501327.08,7435.31
2017-11-09 00:00:00,7465.06,7490,7061.2,7148,14799.27,106985408.52,7229.1
2017-11-10 00:00:00,7150.61,7343.18,6429.44,6588.18,26614.28,181284361.1,6811.55
2017-11-11 00:00:00,6588.18,6820,6218,6355.13,14942.7,96800268.09,6478.1
2017-11-12 00:00:00,6355.13,6488.88,5555.55,5870.37,37315.16,225565297.53,6044.87
2017-11-13 00:00:00,5870.03,6775.75,5846,6525.17,27202.28,173971383.56,6395.47
2017-11-14 00:00:00,6524.69,6750,6466.88,6609,12072.05,79508390.54,6586.15
2017-11-15 00:00:00,6609,7350,6609,7294,16869.9,119171192.38,7064.13
2017-11-16 00:00:00,7294,7976.79,7120.85,7846.96,19272.37,145738327.49,7562.03
2017-11-17 00:00:00,7846.96,7997,7528.5,7674.99,17714.37,138124189.43,7797.3
2017-11-18 00:00:00,7675,7858,7431.54,7771.03,7326.81,56264967.21,7679.33
2017-11-19 00:00:00,7775.55,8087.35,7675,8016.58,8307.78,65332064.65,7863.96
2017-11-20 00:00:00,8016.58,8269.99,7900,8226.17,8179.46,66366007.81,8113.74
2017-11-21 00:00:00,8226.14,8354.46,7770,8095.23,13686.51,110811263.49,8096.38
2017-11-22 00:00:00,8095.19,8310.89,8045.76,8214.69,8078.58,66215711.71,8196.45
2017-11-23 00:00:00,8214.69,8279.76,7980,7989,7811.79,63644740.39,8147.26
2017-11-24 00:00:00,7988.96,8340,7876,8199.19,9289.99,75751868.75,8154.14
2017-11-25 00:00:00,8199.83,8737,8114.78,8717.99,11611.67,97628924.79,8407.83
2017-11-26 00:00:00,8718,9366.6,8538.2,9271.06,12021.22,108525815.45,9027.86
2017-11-27 00:00:00,9278.99,9721.7,9267,9708.07,13272.45,126458117.67,9527.86
2017-11-28 00:00:00,9708.06,9968,9582.25,9868.82,11214.93,110496755.85,9852.65
2017-11-29 00:00:00,9877.63,11395,9250,9824.68,33432.34,346949562.2,10377.66
2017-11-30 00:00:00,9833.7,10618.29,9000,9947.67,25433.46,247093850.76,9715.31
2017-12-01 00:00:00,9927.29,10949.89,9370.11,10840.45,16708.03,171881760.62,10287.37
2017-12-02 00:00:00,10840.45,11200,10637.69,10872,9267.16,101270084.38,10927.84
2017-12-03 00:00:00,10875.68,11800.01,10513.16,11250,14238.53,160176290.44,11249.5
2017-12-04 00:00:00,11250,11613.07,10850,11613.07,13621.48,154122917.9,11314.7
2017-12-05 00:00:00,11613.07,11850,11384.25,11677,11875.03,138370076.16,11652.18
2017-12-06 00:00:00,11676.99,13700,11659.8,13623.5,19784.87,250560790.3,12664.26
2017-12-07 00:00:00,13623,16615.62,13085.9,16599.99,25787.68,382694044.13,14840.19
2017-12-08 00:00:00,16599.99,16666.66,13482.42,15800,25473.4,389366035.09,15285.2
2017-12-09 00:00:00,15799.87,15998.5,12701.05,14607.49,16587.47,238909072.56,14402.98
